ags	source_page_left	source_row	left_ocr	left_pdf	right_ocr	right_pdf	method
01053106	36	2	53 106	53 106	53 106	53 106	source_code_matches_registry
01053107	36	3	53 107.	53 107	53 107	53 107	source_code_matches_registry
01053108	36	4	53 108	53 108	53 108	53 108	source_code_matches_registry
01053109	36	5	53 109	53 109	53 109	53 109	source_code_matches_registry
01053110	36	6	53.110	53 110	53 110	53 110	source_code_matches_registry
01053111	36	7	53.111	53 111	53 111	53 111	source_code_matches_registry
01053112	36	8	53 112	53 112	53 112	53 11<'	source_code_matches_registry
01053113	36	9	53.113	53 113	53 113	53 113	source_code_matches_registry
01053114	36	10	53114	53 114	53 114	53 114	source_code_matches_registry
01053115	36	11	53 115	53 115	53 115	53 115	source_code_matches_registry
01053116	36	12	53.116	53 116	53 116	53 116	source_code_matches_registry
01053117	36	13	53117	53 117	53 117	53 117	source_code_matches_registry
01053118	36	14	53 118	53 118	53 118	53 118	source_code_matches_registry
01053119	36	15	53 119	53 119	53.119	53 119	source_code_matches_registry
01053120	36	16	53 120	53 120	53 120	53 120	source_code_matches_registry
01053121	36	17	§3 121	53 1 ;> 1	53 121	53 121	source_code_matches_registry
01053122	36	18	53.122	53 122	53 122	53 122	source_code_matches_registry
01053123	36	19	53123	53 123	53 123	53 123	source_code_matches_registry
01053124	36	20	53124	53 124	53 124	53 124	source_code_matches_registry
01053125	36	21	53.125	53 125	53 125	53 125	source_code_matches_registry
01053126	36	22	53 126	53 126	53 126	53 126	source_code_matches_registry
01053127	36	23	£3 127	!'3- 127	53 127	53 127	source_code_matches_registry
01053128	36	24	53 128	53 128	53 128	53 128	source_code_matches_registry
01053129	36	25	53 129	53 129	53 129	53 129	source_code_matches_registry
01053130	38	1	53 130	53 130	53 130	53 130	source_code_matches_registry
01053131	38	2	53 131	53 131	53 131	53 131	source_code_matches_registry
01053132	38	3	§3 132	53 132	53 132	53 132	source_code_matches_registry
01053133	38	4	53 133	53 133	53 133	53 133	source_code_matches_registry
01053134	38	5	53 134	53 13ft	53 134 |	53 134	source_code_matches_registry
01053135	38	6	53 135	53 135	53 135	53 135	source_code_matches_registry
01053136	38	7	53 136	53 136	53 136	53 136	source_code_matches_registry
01054001	40	1	54 001	54 001	54 001	54 001	source_code_matches_registry
01054002	40	2	54 002	54 002	54 002	54 002	source_code_matches_registry
01054003	40	3	54 G03:	54 003	54 003	54 003	source_code_matches_registry
01054004	40	4	54 C04	54 DJ4	54 604	54 004	source_code_matches_registry
01054005	40	5	54 0C5	54 OC5	54 005	54 005	source_code_matches_registry
01054006	40	6	54 COG	54 C:G6	54 006	54 006	source_code_matches_registry
01054007	40	7	54 CO7	54 007	54 007	54 007	source_code_matches_registry
01054008	40	8	54 008	54 uG8	54 O08	54 008	source_code_matches_registry
01054009	40	9	54 069	54 009	54 009	54 009	source_code_matches_registry
01054010	40	10	54 C10	54 C1 0	54 G10	54 C•1 0	source_code_matches_registry
01054011	40	11	54 011	~4 011	54 011	54 011	source_code_matches_registry
01054012	40	12	54 612	54 ~12	54 012	54 012	source_code_matches_registry
01054013	40	13	54 013	54 C'13	54 013	54 013	source_code_matches_registry
01054014	40	14	54 614	54 L14	54 014	54 014	source_code_matches_registry
01054015	40	15	84 615	!'4 t•15	54 G15	54 G15	visual
01054016	40	16	56 016	54 016	54 C16	54 C16	source_code_matches_registry
01054017	40	17	54 C17	54 017	54 017	54 017	source_code_matches_registry
01054018	40	18	54 018	54 018	54 018	54 018	source_code_matches_registry
01054019	40	19	54 019	~4 019	54 019	54 019	source_code_matches_registry
01054020	40	20	54 020	54 020	54 020	54 020	source_code_matches_registry
01054022	40	21	54 C22.	54 C22	54 O22	54 022	source_code_matches_registry
01054023	40	22	54 023	54 023	54 023	54 023	source_code_matches_registry
01054024	40	23	54 024	54 024	54 024	54 024	source_code_matches_registry
01054025	40	24	54 025	54 (125	54 025	54 025	source_code_matches_registry
01054026	40	25	54 026	54 026	54 026	54 026	source_code_matches_registry
01054027	42	1	54 027	54 027	54 027	54 027	source_code_matches_registry
01054032	42	2	. 54 032	54 032	54 032	54 032	source_code_matches_registry
01054033	42	3	54 033°	54 033	54 033	54 033	source_code_matches_registry
01054034	42	4	54 034	54 034	54 034	54 034	source_code_matches_registry
01054035	42	5	54 035	54 035	54 035	54 035	source_code_matches_registry
01054036	42	6	54 036	54 036	54 036	54 036	source_code_matches_registry
01054037	42	7	54 037	54 037	54 037	54 037	source_code_matches_registry
01054038	42	8	54 638	54 (:38	54 038	54 038	source_code_matches_registry
01054039	42	9	54 039	54 039	54 039	54 039	source_code_matches_registry
01054040	42	10	54 040	54 040	54 040	54 O'tO	source_code_matches_registry
01054041	42	11	54 041	54 041	54 041	54 041	source_code_matches_registry
01054042	42	12	54 042	54 042	54 042	54 (142	source_code_matches_registry
01054043	42	13	54 043	54 043	54 043	54 043	source_code_matches_registry
01054045	42	14	54 045	54 045	54 045	54 045	source_code_matches_registry
01054046	42	15	54 046	54 046	54 046	54 046	source_code_matches_registry
01054048	42	16	54 048	54 C48	54 048	54 048	source_code_matches_registry
01054050	42	17	54 C50	54 050	54 050	54 050	source_code_matches_registry
01054052	42	18	54 052	54 052	54 052	54 052	source_code_matches_registry
01054054	42	19	54 054	54 054	54 054	54 054	source_code_matches_registry
01054055	42	20	54 055	54 055	54 055	54 055	source_code_matches_registry
01054056	42	21	54 C56	54 056	54 056	54 056	source_code_matches_registry
01054057	42	22	54 057	54 057	54 057	54 057	source_code_matches_registry
01054059	42	23	54 059	54 059	54 059	54 059	source_code_matches_registry
01054061	42	24	54 061	54 061	54 061	54 061	source_code_matches_registry
01054062	42	25	54 062	54 062	54 062	54 062	source_code_matches_registry
01054063	44	1	54 063	54 063	54 063	54 063	source_code_matches_registry
01054065	44	2	54 065	54 065	54 065	54 065	source_code_matches_registry
01054068	44	3	54 068	54 068'	54 068	54 068	source_code_matches_registry
01054070	44	4	54 070	54 070	54 070	54 070	source_code_matches_registry
01054071	44	5	54 071	54 071	54 071	54 071	source_code_matches_registry
01054072	44	6	54 C72.	54 C72	54 072	54 072	source_code_matches_registry
01054073	44	7	54 073	54 073	54 073	54 073	source_code_matches_registry
01054074	44	8	54 074	54 074	54 074	54 074	source_code_matches_registry
01054075	44	9	54 C75	54 075	54 075	!>4 075	source_code_matches_registry
01054076	44	10	54 C76	54 C·76	54 O76	54 076	source_code_matches_registry
01054077	44	11	54 077	54 077	54 C77	54 C77	source_code_matches_registry
01054078	44	12	54 O78	54 078	54 078	54 078	source_code_matches_registry
01054079	44	13	54 079	54 079	54 079	54 079	source_code_matches_registry
01054080	44	14	54 089	54 080	54 080	54 080	source_code_matches_registry
01054083	44	15	54 683	54 G83	54 083	54 083	source_code_matches_registry
01054084	44	16	54 084	54 01!4	54 084	54 01.!4	source_code_matches_registry
01054085	44	17	54 085	54 085	54 085	54 085	source_code_matches_registry
01054086	44	18	54 086	54 086	54 086	54 086	source_code_matches_registry
01054087	44	19	54 O87	54 U87	54 087	54 087	source_code_matches_registry
01054088	44	20	54 G88	54 (il!8	54 088	54 088	source_code_matches_registry
01054089	44	21	54 089	54 089	54 089	54 089	source_code_matches_registry
01054090	44	22	54 090	54 090	54 690	54 090	source_code_matches_registry
01054091	44	23	54 091	54 091	54 091	54 091	source_code_matches_registry
01054092	44	24	54 092	54 092	54 092	54 092	source_code_matches_registry
01054093	44	25	54 093	54 093	54 093	54 093	source_code_matches_registry
01054094	46	1	54 094	54 094	54 094	54 094	source_code_matches_registry
01054095	46	2	54 095	54 095	54 095	54 095	source_code_matches_registry
01054096	46	3	54 096:	54 096·	54 096	54 096	source_code_matches_registry
01054097	46	4	54 097	5't 097	54 097	54 097	source_code_matches_registry
01054098	46	5	54 098	54 098	54 098	54 098	source_code_matches_registry
01054099	46	6	54 C99	54 C99	54 099	54 099	source_code_matches_registry
01054100	46	7	54 100	54 100	54 100	54 100	source_code_matches_registry
01054101	46	8	54 101	54 101	54 101	54 101	source_code_matches_registry
01054103	46	9	54 103	54 103	54 163	54 103	source_code_matches_registry
01054104	46	10	54 104	54 1 O't	54 104	54 104	source_code_matches_registry
01054105	46	11	54 105	54 105	54 105	54 105	source_code_matches_registry
01054106	46	12	54 106	54 106	54 106	54 106	source_code_matches_registry
01054107	46	13	54 107	54 107	54 107	54 107	source_code_matches_registry
01054108	46	14	54 108	54 108	54 108	54 108	source_code_matches_registry
01054109	46	15	54 109	51t 109	54 109	54 109	source_code_matches_registry
01054110	46	16	54 110	51t 110	54 110	54 110	source_code_matches_registry
01054113	46	17	54 113	54 113	54 113	54 113	source_code_matches_registry
01054115	46	18	54 115	54 115	54 115	54 115	source_code_matches_registry
01054116	46	19	54 116	51t 116	54 116	54 116	source_code_matches_registry
01054118	46	20	54 118	51t 118	54 118	54 118	source_code_matches_registry
01054119	46	21	54 119	51t 119	54 119	54 119	source_code_matches_registry
01054120	46	22	54 120	54 120	54 120	54 120	source_code_matches_registry
01054121	46	23	54 121	54 121	54 121	54 121	source_code_matches_registry
01054123	46	24	54 123	5't 123	54 123	54 123	source_code_matches_registry
01054124	46	25	54 124	54 124	54 124	54 124	source_code_matches_registry
01054125	48	1	54 125	54 125	54 125	54 125	source_code_matches_registry
01054126	48	2	54 126	54 126	54 126	54 126	source_code_matches_registry
01054128	48	3	. 54 128.	54 128	54 128	54 128	source_code_matches_registry
01054129	48	4	54 129	54 129	54 129	54 129	source_code_matches_registry
01054130	48	5	54 130	54 130	54 130	54 130	source_code_matches_registry
01054131	48	6	54 131	54 131	54 131	54 131	source_code_matches_registry
01054132	48	7	54 132	54 132	54 132	54 132	source_code_matches_registry
01054133	48	8	54 133	54 133	54 133	54 133	source_code_matches_registry
01054134	48	9	54 134	54 134	54 134	54 134	source_code_matches_registry
01054135	48	10	54 135	54 135	54 135	54 135	source_code_matches_registry
01054136	48	11	54 136	~4 136	54 136	54 136	source_code_matches_registry
01054138	48	12	54 138	54 138	54 138	54 138	source_code_matches_registry
01054140	48	13	54 140	54 140	54 140	54 140	source_code_matches_registry
01054141	48	14	54 141	54 141	54 141	54 141	source_code_matches_registry
01054142	48	15	54 142	54 142	54 142	54 142	source_code_matches_registry
01054143	48	16	54 143	54 143	54 143	54 143	source_code_matches_registry
01054144	48	17	54 144	54 144	54 144	54 144	source_code_matches_registry
01054145	48	18	54 145	54 145	54 145	54 145	source_code_matches_registry
01054146	48	19	54 146	54 146	54 146	54 146	source_code_matches_registry
01054148	48	20	54 148	54 14E	54 148	54 148	source_code_matches_registry
01054149	48	21	54 149	54 149	54 149	54 149	source_code_matches_registry
01054150	48	22	54 159	54 150	54 150	54 150	source_code_matches_registry
01054151	48	23	54 151	54 151	54 151	54 151	source_code_matches_registry
01054152	48	24	54 152	54 152	54 152	54 152	source_code_matches_registry
01054154	48	25	54 154	54 154	54 154	54 154	source_code_matches_registry
01054156	50	1	54 156	54 156	54 156	54 156	source_code_matches_registry
01054157	50	2	54 157	54 157	54 157	54 157	source_code_matches_registry
01054158	50	3	54 158°	54 158	54 158	54 158	source_code_matches_registry
01054159	50	4	54 159	54 159	54 159	54 159	source_code_matches_registry
01054160	50	5	54 160	54 160	54 160	54 160	source_code_matches_registry
01054161	50	6	54 161	54 161	54 161	54 161	source_code_matches_registry
01054162	50	7	54 162		54 162	54 162	source_code_matches_registry
01054163	50	8	54 163	54 163	54 163	54 163	source_code_matches_registry
01054164	50	9	54 164	54 164	54 164	54 164	source_code_matches_registry
01054165	50	10	54 165	54 165	54 165	54 165	source_code_matches_registry
01054166	50	11	54 166	54 166	54 166	54 166	source_code_matches_registry
01054167	50	12	54 167	54 167	54 167	54 167	source_code_matches_registry
01055001	52	1	55 001	55 001	55 001	55 001	source_code_matches_registry
01055002	52	2	55 002	55 002	55 cG2	55 CCi2	source_code_matches_registry
01055004	52	3	55 004 -	55 004 ·	55 004	55 004	source_code_matches_registry
01055005	52	4	55 005	55 005	55 065	55 005	source_code_matches_registry
01055006	52	5	55 006	55 006	55 GO6	55 (.06	source_code_matches_registry
01055007	52	6	55 007	55 007	55 007	55 007	source_code_matches_registry
01055008	52	7	55 GOR	55 üO~	55 108	55 (108	visual
01055010	52	8	55 019	55 01:>	55 010	55 010	source_code_matches_registry
01055011	52	9	55 011	55 011	55 011	55 011	source_code_matches_registry
01055012	52	10	55 @t2	55 012	55 012	55 (•12	source_code_matches_registry
